sequence,family_accession,sequence_name,aligned_sequence,family_id
N_Inondation,cod_hex,WDI_GDP_per_capita,WDI_Inflation_rate,Tarification
2,0x2582a7c76e342ae,49917.88484155131,1.5788927429899,1.1795123266078424
18,0x9ded8c410618104,43940.72127973063,3.6320669702817776,1.023423805718348
16,0xdcc825532b8a226,40270.3579464786,3.369828348241044,1.0467440441444595
5,0xf9df84324da8f2c,39555.74103746703,2.4546821821388742,1.1752055948314233
9,0x2c4a1a65bd08224,47573.75590157033,3.412855988398415,1.12155988901418
2,0xd585da073d16d39,48198.85575984774,3.373235211682396,1.153563214264334
6,0x4c337e50888f894,37494.98411535655,3.7787632921042493,1.0710194344924544
10,0x5a2e734c1a9ebbb,46168.629582697526,4.825283523363213,1.0905279048913878
9,0xba596c13bd44a44,47672.24210027485,2.4678511586291236,1.1866551493496929
17,0xb5572701a267c20,40972.851124894616,2.0224016432031227,1.1801400455505902
12,0xd0a465af61d00d9,38291.22101810374,4.641929367964012,1.0993301589083746
10,0xf6975393e8c072b,36430.63335528856,1.7689559896207907,1.0144693066409787
6,0xca040426fcb1509,49259.58934423835,1.2514087841670856,1.0743216389941421
14,0x48003029e216b27,35506.86302873771,3.278660982431885,1.0425484314496483
19,0xf5b8b805829e1ab,41246.35739762889,3.1995409094169314,1.1167064717759838
18,0xbbe1c0f8f0b29ee,45999.30692085532,1.3024398399528372,1.0990970298034002
18,0x81abd6e8439c174,43870.64111392039,4.264402397123513,1.0250777383435394
16,0xe8fde4c6b82018,44490.7130916398,4.613782512537381,1.0055488735387184
5,0xd2e26148c9f8f08,48808.113811088726,4.720612125260857,1.106944295937634
9,0x5cbdb09e2c1c187,43936.70194513617,1.645431540407698,1.1773899190162798
11,0xea85a71faae9194,37870.66629293891,4.273490005758084,1.110702601878298
17,0xc0e122bc0ab8a3,37330.58434382295,1.6244269806243428,1.1219111145505143
15,0x2a9aa872d71cd13,45203.15206002941,4.048472075347384,1.0658639467677211
19,0x2a0968f118489af,40908.75829881083,1.375826456378641,1.0107618941116967
9,0xf717542f7fc041,44238.701003434384,1.4868936833031121,1.0781001542508153
15,0x348edd0d99082a1,38916.21824187633,4.3720945657537555,1.0610388960088017
2,0x3a5b971f508f3c2,49281.9106834659,3.236692994678792,1.1404038068220945
14,0x1aa05985bf7b5cc,38242.167128306966,3.464843480130922,1.1063072003341825
19,0x2cf4caac57dfa1,41490.48277597888,2.8275707961547956,1.1433663786642678
7,0xd401ad7d0949fff,36731.241436470074,4.459039148471093,1.0858449837798747
9,0x85a9bdd3d686b23,39523.0102483791,1.257857147186093,1.002085249078015
2,0xc51a9e0ea34b04d,47740.71137489118,1.5359670455146435,1.0177488023515988
6,0xe36ac03adcc21a1,49374.88350879951,1.7274264915839366,1.191280865999076
4,0x80de78bc5640a1d,37810.330271725245,4.226003714288068,1.1033194759831866
9,0xc8381cf068e2c82,35325.127009484095,1.648939767739522,1.1656813307797094
5,0x76ab54a6ca2a0fa,35850.16493587326,3.620263782005977,1.129590699450989
15,0xcc306ebdc9050cf,49314.26003228343,4.140229710140961,1.034617313483957
10,0x2f8a27d5c2db6c9,41439.90229863036,1.8876889437876416,1.129732432876387
9,0xae02ca153f2e877,46623.23273933465,3.154522503184091,1.059025724195395
5,0xe46af2ba68da339,44736.70484118756,3.103643948321254,1.0743918263106917
12,0xf3be4df39ea0b51,42214.86770872469,1.593649559072512,1.0274789115347565
19,0x1a9a938cc54cf06,35795.78899685311,2.6930161406672752,1.0280415801645013
11,0xe7ac727bba1b1d4,39659.54556241097,2.08524114155609,1.0023245561235223
9,0xe30deeeb89553f5,46361.32645144425,3.101098000239897,1.115071110953317
7,0x2dbfe2f0aaddc56,37271.088518090895,1.9171819256416143,1.101444146352056
18,0x78fbcf8d340bdc0,47419.59412520318,4.537095233916812,1.0162087223461236
10,0x6fb7c9cec3eefa5,42977.93266115554,4.61250702132183,1.139641056121662
15,0x5e4df65b6d57d04,36825.19940915619,2.0664117790038663,1.024214045327004
9,0x9de11a63b0c5fc9,41397.55236054141,4.145684001582239,1.0891451008374538
11,0x19732900bc9a6db,40416.967824300584,1.094161831427602,1.0177885019303956
6,0x577cfbfe792ad04,49360.7129784187,1.9866712027965874,1.1599236999637523
1,0x4d54346d95d40d8,36703.140256017985,2.292070067354328,1.1429534972556472
19,0xea5a7a356a86281,44756.26375428394,1.2166724147354309,1.0392864721910788
6,0x8e8c789ef3e7f1b,48253.7847691245,3.6668600016576423,1.0284377467826027
18,0x1675a22e6bd261d,38144.199568341064,4.1801805448958875,1.192584679328017
6,0x700f06be363ae02,40393.09851480716,1.4369861256267074,1.186003979305557
16,0x6881fc1276053b0,38585.39556497648,4.316186475313084,1.01280440048434
9,0x3834bdb13f07ef8,46697.74023102254,3.9511131274878966,1.0626398943831679
11,0xad398effb4b1737,47169.96580811843,3.054948469998702,1.1548706040122285
11,0x264758cc1916656,43739.56398063034,2.955509257246978,1.0571579229744827
7,0xbae0f42212854f7,35985.276070868524,2.5952880514323757,1.0200519947689186
19,0xf06b6ec1375f8fb,42114.461068320416,2.1336965471877525,1.1075735595557485
17,0x3b0d3863b3e8513,45688.71811946096,4.411335793775837,1.044551690919653
14,0x793f801a7f619b1,45843.38848757988,1.0382168670492362,1.195712331041609
12,0x5d99deebeb2a85c,43823.07546309991,1.9459309084850185,1.0657904425854796
10,0x102056b114238b7,46694.700509931776,4.336863973455804,1.17555534611066
18,0x89b2bce1c57e9d8,43768.25908489602,4.8433222476478655,1.172532196725219
9,0x532d80d3ed56043,42787.087842743276,1.1881809244392945,1.0974796267268598
1,0x9ebb0b9b3561454,38765.92244373149,2.7035973716248343,1.1687691401687608
1,0x7844b8efd84b9a6,48280.863808143346,4.028971218936546,1.067684304044058
3,0xa972829538e1384,35595.334956291845,1.6449759703283027,1.1117905733136835
14,0xdc10169b014a01,40765.89648439857,4.528090679155978,1.0512941790192107
13,0x61c19f1cc84960d,39790.707856293935,2.015005551217221,1.0747147011852385
15,0xe35bad4886319a5,42321.53107638251,2.0236192431725084,1.1948483474400633
8,0x8561ba9017d97a8,40124.16613619664,4.12122399708037,1.0485963132676934
15,0x767691267f04e72,45183.90122492233,4.355268905026764,1.1865148901243237
2,0x2c7f60641efd376,45404.411645974615,1.661442077734823,1.0545420615335384
1,0x3d64a034d0b636b,48186.761330762485,2.204597510791002,1.1798168474998532
2,0x8f4ca2a576042a5,48691.203904798,3.57783463112921,1.0844161664487548
4,0xafd45202e6e0742,35891.75211443274,4.415991933349854,1.1992308010022623
13,0x6d46e3b9480e2fd,48726.86325090574,2.9779914500696427,1.0091944514174853
16,0xf5a04601c34d417,41590.697334818076,2.924528095959149,1.1231205969292566
12,0x8782ab0b4220773,47394.828560338465,1.585557179723554,1.0708631271302735
12,0xf5f974b28669389,43883.36873738925,3.3855970394594728,1.0723234610763994
4,0x48425088e6e7a96,35410.242368327585,4.258902104693558,1.0381753215620924
17,0xb46e18fc94ae17d,43418.1715124071,4.230260792752992,1.0976227482726852
18,0xc9a6d51a61d2f29,43762.66176515538,3.775462806619839,1.001011611115868
13,0x4d1ab4736e3010e,39038.168099042494,1.1453630325546893,1.0315254988776346
17,0xc201ae2e910019c,40885.72685730064,1.9251862721090434,1.0647635390481547
12,0x54df9606f9cec51,40596.01654756303,3.643804450339611,1.1242338149714206
3,0x52be3153a138d45,48920.15034334001,1.7138288041508423,1.1317547135441084
5,0xc0f30c369fed488,49658.35799653911,3.935057148745831,1.100284662402983
5,0xffe70162811f861,47263.6024244509,4.277529950722917,1.0465138277295385
7,0x95a8d86e8f2ad8e,42913.72018091465,2.2013656346379964,1.1920419263585902
12,0xe7799922862ba3e,35891.083378763884,1.5583981206588713,1.0729758071743305
16,0x20e125c26d622e,35719.32728636599,2.2254319881481517,1.0345378776323801
5,0x314e175d03c5c59,41346.30617929646,3.1869361706718418,1.1711904075285984
1,0xd2e1611e0cb5087,36816.56554723247,3.642778973705886,1.1531719466158628
15,0xb3c622383040be9,35479.57702507857,1.1915338718235104,1.180894911444399
13,0x44dc74e1faef0d4,44118.86738438333,3.4430155037966212,1.053375909796151
6,0x2f5003a9f4a1e77,38862.73477476086,3.9966020099700867,1.0846381087012966
2,0x59b21b321567469,48762.80925304875,3.9890891830778963,1.1137477765419508
9,0xb57421aa8e56701,48507.92777222936,2.556208937850265,1.1989364112374399
13,0x80c4ff452af9652,45646.999277942086,4.278046609007157,1.1090744143222118
7,0x1a5df7932c63f63,48843.54042934036,4.290652409147743,1.1139720270653402
6,0x95c8f8d3cd65a45,38173.793599743825,2.636843733699293,1.119177417788936
18,0xc91f548045726f6,38374.375448132974,1.03697081452867,1.163999223542212
6,0x7e98f70d9881cea,40678.00754055627,2.1062174879971263,1.079690012755842
2,0x2955d4834ed835e,46921.124819357785,2.790132986384341,1.0744030942467218
12,0xd7c36cdae4cb3fd,46635.457447055865,3.210233887986248,1.0078630114749143
6,0x373b95a16f7177d,48413.17565758193,2.5013119177305834,1.1280830696336992
10,0x49b884d7416bbb7,36007.26205431634,4.575998967925492,1.0368561801136642
8,0xfccb89c67809440,42650.49864770155,4.54393641416267,1.0449666686454604
