cout_tot,prime,year,lob,lib_per,typ_bati,N_Inondation,cod_hex,WDI_GDP_per_capita,WDI_Inflation_rate,Tarification
1342.9667470205,3214.0276899082337,2020,BDM,inondation,NR,2,0x2582a7c76e342ae,49917.88484155131,1.5788927429899,1.1795123266078424
7439.632745366373,7907.533372250547,2020,BDM,inondation,NR,18,0x9ded8c410618104,43940.72127973063,3.6320669702817776,1.023423805718348
6771.834413789192,7886.366317701851,2020,BDM,inondation,NR,16,0xdcc825532b8a226,40270.3579464786,3.369828348241044,1.0467440441444595
7181.120612667455,5147.169955885504,2018,BDM,inondation,NR,5,0xf9df84324da8f2c,39555.74103746703,2.4546821821388742,1.1752055948314233
5277.006078440146,2550.038672798485,2022,BDM,inondation,NR,9,0x2c4a1a65bd08224,47573.75590157033,3.412855988398415,1.12155988901418
3030.435338665793,6927.412780608913,2020,BDM,inondation,NR,2,0xd585da073d16d39,48198.85575984774,3.373235211682396,1.153563214264334
4493.411032579028,7879.386121652515,2019,BDM,inondation,NR,6,0x4c337e50888f894,37494.98411535655,3.778763292104249,1.0710194344924544
8421.425256123057,2028.2196441359915,2019,BDM,inondation,NR,10,0x5a2e734c1a9ebbb,46168.629582697526,4.825283523363213,1.0905279048913878
4330.623136569973,2609.1935711515525,2018,BDM,inondation,NR,9,0xba596c13bd44a44,47672.24210027485,2.467851158629124,1.1866551493496929
2775.698545181024,4026.681996730848,2022,BDM,inondation,NR,17,0xb5572701a267c20,40972.851124894616,2.0224016432031227,1.1801400455505902
7319.148117004266,7023.943355381363,2021,BDM,inondation,NR,12,0xd0a465af61d00d9,38291.22101810374,4.641929367964012,1.0993301589083746
4762.761678989725,4891.737965504185,2020,BDM,inondation,NR,10,0xf6975393e8c072b,36430.63335528856,1.7689559896207907,1.014469306640979
5930.630890272957,2687.461796776039,2019,BDM,inondation,NR,6,0xca040426fcb1509,49259.58934423835,1.2514087841670856,1.074321638994142
1791.851636425437,2034.4675198917755,2021,BDM,inondation,NR,14,0x48003029e216b27,35506.86302873771,3.278660982431885,1.0425484314496485
5826.756135927176,5070.098845396142,2022,BDM,inondation,NR,19,0xf5b8b805829e1ab,41246.35739762889,3.199540909416932,1.1167064717759838
2551.1545097413514,2646.843673286226,2019,BDM,inondation,NR,18,0xbbe1c0f8f0b29ee,45999.30692085532,1.3024398399528372,1.0990970298034002
1502.0849605475487,6936.488688603055,2021,BDM,inondation,NR,18,0x81abd6e8439c174,43870.64111392039,4.264402397123513,1.0250777383435394
6030.161750899751,7009.781312191193,2021,BDM,inondation,NR,16,0xe8fde4c6b82018,44490.7130916398,4.613782512537381,1.0055488735387184
9890.932619059462,6852.426606543563,2020,BDM,inondation,NR,5,0xd2e26148c9f8f08,48808.113811088726,4.720612125260857,1.106944295937634
9789.18763973514,5979.884672978953,2022,BDM,inondation,NR,9,0x5cbdb09e2c1c187,43936.70194513617,1.645431540407698,1.1773899190162798
4896.866836835499,3804.831908396867,2022,BDM,inondation,NR,11,0xea85a71faae9194,37870.66629293891,4.273490005758084,1.110702601878298
6550.061580327528,4717.20963931446,2018,BDM,inondation,NR,17,0xc0e122bc0ab8a3,37330.58434382295,1.6244269806243428,1.1219111145505145
3655.4154097805535,4958.255045716236,2022,BDM,inondation,NR,15,0x2a9aa872d71cd13,45203.15206002941,4.048472075347384,1.0658639467677211
5479.642999564115,2900.986154110829,2021,BDM,inondation,NR,19,0x2a0968f118489af,40908.75829881083,1.375826456378641,1.0107618941116967
8823.42465687182,3124.813379310535,2020,BDM,inondation,NR,9,0xf717542f7fc041,44238.701003434384,1.486893683303112,1.0781001542508153
8690.90865840037,6919.171700468969,2021,BDM,inondation,NR,15,0x348edd0d99082a1,38916.21824187633,4.372094565753756,1.0610388960088015
9230.257292008731,3081.7587398782434,2018,BDM,inondation,NR,2,0x3a5b971f508f3c2,49281.9106834659,3.236692994678792,1.1404038068220943
3392.458269873411,4401.306132171379,2022,BDM,inondation,NR,14,0x1aa05985bf7b5cc,38242.167128306966,3.464843480130922,1.1063072003341825
6581.664522952097,3869.070231372725,2018,BDM,inondation,NR,19,0x2cf4caac57dfa1,41490.48277597888,2.827570796154796,1.1433663786642678
2798.584643888484,3487.8501170054205,2022,BDM,inondation,NR,7,0xd401ad7d0949fff,36731.24143647008,4.459039148471093,1.0858449837798747
4752.352843568323,4391.8619005698965,2022,BDM,inondation,NR,9,0x85a9bdd3d686b23,39523.0102483791,1.257857147186093,1.002085249078015
9154.029418481714,4976.626564707376,2019,BDM,inondation,NR,2,0xc51a9e0ea34b04d,47740.71137489118,1.5359670455146437,1.0177488023515988
8111.283160173548,5847.161849806745,2021,BDM,inondation,NR,6,0xe36ac03adcc21a1,49374.88350879951,1.7274264915839366,1.191280865999076
2721.836005984504,3276.276623121219,2021,BDM,inondation,NR,4,0x80de78bc5640a1d,37810.330271725245,4.226003714288068,1.1033194759831866
1417.421044074158,3358.0620051432315,2019,BDM,inondation,NR,9,0xc8381cf068e2c82,35325.127009484095,1.648939767739522,1.1656813307797094
6990.018965604084,3636.458610836105,2022,BDM,inondation,NR,5,0x76ab54a6ca2a0fa,35850.16493587326,3.620263782005977,1.129590699450989
4292.014444908225,4506.472929475782,2019,BDM,inondation,NR,15,0xcc306ebdc9050cf,49314.26003228343,4.140229710140961,1.034617313483957
1797.1713895274556,3903.66877037282,2022,BDM,inondation,NR,10,0x2f8a27d5c2db6c9,41439.90229863036,1.8876889437876416,1.129732432876387
5971.898112567936,4848.749292930384,2018,BDM,inondation,NR,9,0xae02ca153f2e877,46623.23273933465,3.154522503184091,1.059025724195395
7069.972980509004,5978.852239731154,2018,BDM,inondation,NR,5,0xe46af2ba68da339,44736.70484118756,3.103643948321254,1.0743918263106915
6031.957605790266,5753.125928641028,2019,BDM,inondation,NR,12,0xf3be4df39ea0b51,42214.86770872469,1.593649559072512,1.0274789115347565
5842.944973128176,4886.233257040507,2019,BDM,inondation,NR,19,0x1a9a938cc54cf06,35795.78899685311,2.6930161406672752,1.028041580164501
8475.61206054625,7874.351406006049,2018,BDM,inondation,NR,11,0xe7ac727bba1b1d4,39659.54556241097,2.08524114155609,1.0023245561235223
3619.1271559077295,5529.442248816617,2018,BDM,inondation,NR,9,0xe30deeeb89553f5,46361.32645144425,3.101098000239897,1.115071110953317
5234.746816032797,4796.205399964321,2020,BDM,inondation,NR,7,0x2dbfe2f0aaddc56,37271.088518090895,1.9171819256416145,1.101444146352056
2094.827673228271,7519.775268867496,2018,BDM,inondation,NR,18,0x78fbcf8d340bdc0,47419.59412520318,4.537095233916812,1.0162087223461236
5974.486315296195,3762.355193055356,2022,BDM,inondation,NR,10,0x6fb7c9cec3eefa5,42977.93266115554,4.61250702132183,1.139641056121662
5280.2297106179685,4421.225110938274,2021,BDM,inondation,NR,15,0x5e4df65b6d57d04,36825.19940915619,2.0664117790038663,1.024214045327004
7623.687069647873,6262.422066133738,2022,BDM,inondation,NR,9,0x9de11a63b0c5fc9,41397.55236054141,4.145684001582239,1.0891451008374538
3498.4039993916485,3055.18296156653,2019,BDM,inondation,NR,11,0x19732900bc9a6db,40416.96782430058,1.094161831427602,1.0177885019303956
6815.327460913259,5467.093242014995,2021,BDM,inondation,NR,6,0x577cfbfe792ad04,49360.7129784187,1.9866712027965876,1.1599236999637523
9963.171003955664,2891.4055858483307,2021,BDM,inondation,NR,1,0x4d54346d95d40d8,36703.14025601799,2.292070067354328,1.1429534972556472
9947.361082672343,4236.765127221304,2019,BDM,inondation,NR,19,0xea5a7a356a86281,44756.26375428394,1.2166724147354309,1.0392864721910788
4345.549516690633,2357.883051290129,2019,BDM,inondation,NR,6,0x8e8c789ef3e7f1b,48253.7847691245,3.666860001657642,1.0284377467826027
9876.809076102709,3273.7045391087104,2021,BDM,inondation,NR,18,0x1675a22e6bd261d,38144.19956834106,4.180180544895888,1.192584679328017
3729.144220549933,7425.877335333998,2018,BDM,inondation,NR,6,0x700f06be363ae02,40393.09851480716,1.4369861256267074,1.186003979305557
6348.285359686168,5632.730017854976,2020,BDM,inondation,NR,16,0x6881fc1276053b0,38585.39556497648,4.316186475313084,1.01280440048434
5549.400851761482,5124.898578686487,2020,BDM,inondation,NR,9,0x3834bdb13f07ef8,46697.74023102254,3.951113127487897,1.062639894383168
7924.285493963113,3055.839480143057,2020,BDM,inondation,NR,11,0xad398effb4b1737,47169.96580811843,3.054948469998702,1.1548706040122283
2918.55485476542,2452.690916330366,2021,BDM,inondation,NR,11,0x264758cc1916656,43739.56398063034,2.955509257246978,1.0571579229744827
6894.093254123375,6573.610380697162,2021,BDM,inondation,NR,7,0xbae0f42212854f7,35985.276070868524,2.595288051432376,1.0200519947689186
1338.7602399217585,7535.595228320391,2018,BDM,inondation,NR,19,0xf06b6ec1375f8fb,42114.461068320416,2.1336965471877525,1.1075735595557483
9516.656330169046,6422.460237983091,2020,BDM,inondation,NR,17,0x3b0d3863b3e8513,45688.71811946096,4.411335793775837,1.044551690919653
9551.6490790343,2052.0451894191315,2021,BDM,inondation,NR,14,0x793f801a7f619b1,45843.38848757988,1.0382168670492362,1.195712331041609
2841.8407807535905,5724.542972094519,2021,BDM,inondation,NR,12,0x5d99deebeb2a85c,43823.07546309991,1.9459309084850185,1.0657904425854796
7796.528234689041,3488.739625382077,2020,BDM,inondation,NR,10,0x102056b114238b7,46694.700509931776,4.336863973455804,1.17555534611066
2165.074147251309,3918.5084294872895,2019,BDM,inondation,NR,18,0x89b2bce1c57e9d8,43768.25908489602,4.8433222476478655,1.172532196725219
4671.256900430672,2761.8094449741734,2020,BDM,inondation,NR,9,0x532d80d3ed56043,42787.08784274328,1.1881809244392945,1.0974796267268598
4932.504156612509,7497.275180316521,2021,BDM,inondation,NR,1,0x9ebb0b9b3561454,38765.92244373149,2.7035973716248343,1.1687691401687608
2620.850735094672,4726.423870499537,2020,BDM,inondation,NR,1,0x7844b8efd84b9a6,48280.86380814335,4.028971218936546,1.067684304044058
3171.997870556767,3906.819194639512,2022,BDM,inondation,NR,3,0xa972829538e1384,35595.334956291845,1.644975970328303,1.1117905733136837
8996.260590881706,6731.998132915517,2018,BDM,inondation,NR,14,0xdc10169b014a01,40765.89648439857,4.528090679155978,1.0512941790192107
4552.299036166105,2567.227230547098,2021,BDM,inondation,NR,13,0x61c19f1cc84960d,39790.707856293935,2.015005551217221,1.0747147011852385
5523.281438978988,3896.870013703865,2022,BDM,inondation,NR,15,0xe35bad4886319a5,42321.53107638251,2.0236192431725084,1.1948483474400633
2766.092099128902,6026.062611702159,2020,BDM,inondation,NR,8,0x8561ba9017d97a8,40124.16613619664,4.12122399708037,1.0485963132676934
5123.935518353675,2377.3701538469822,2022,BDM,inondation,NR,15,0x767691267f04e72,45183.90122492233,4.355268905026764,1.1865148901243237
6310.624670784181,3070.361241569187,2018,BDM,inondation,NR,2,0x2c7f60641efd376,45404.411645974615,1.661442077734823,1.0545420615335384
1012.6188629571478,2896.490506909965,2018,BDM,inondation,NR,1,0x3d64a034d0b636b,48186.761330762485,2.204597510791002,1.1798168474998532
7779.70323642741,3926.104769451488,2021,BDM,inondation,NR,2,0x8f4ca2a576042a5,48691.203904798,3.57783463112921,1.0844161664487548
4011.0954548916175,7213.490714837952,2020,BDM,inondation,NR,4,0xafd45202e6e0742,35891.75211443274,4.415991933349854,1.1992308010022623
1977.5819434699972,6065.443304976551,2018,BDM,inondation,NR,13,0x6d46e3b9480e2fd,48726.86325090574,2.9779914500696427,1.009194451417485
8869.93645456553,3408.313992724389,2019,BDM,inondation,NR,16,0xf5a04601c34d417,41590.69733481808,2.924528095959149,1.1231205969292566
2568.185627290476,5803.437898081971,2021,BDM,inondation,NR,12,0x8782ab0b4220773,47394.82856033847,1.585557179723554,1.0708631271302735
2437.657896382404,2981.9755756519057,2022,BDM,inondation,NR,12,0xf5f974b28669389,43883.36873738925,3.3855970394594728,1.0723234610763994
6748.871162777539,2560.4649959365843,2019,BDM,inondation,NR,4,0x48425088e6e7a96,35410.242368327585,4.258902104693558,1.0381753215620924
